Transaction ID,Customer ID,product detail,City,Quantity,Price variation,Discount,Transaction Date
TTD1,32773,Grocery,Karachi,16,2402,0.25433555614401787,2025-10-29 15:13:44
TTD2,22149,book,Faisabad,16,3658,0.07833994474830185,2025-10-30 13:55:37
TTD3,50218,sports,Islamabad,7,604,0.1751745342924012,2024-06-09 01:37:06
TTD4,57448,sports,Islamabad,12,1520,0.22984226843430677,2025-05-05 04:27:19
TTD5,92242,clothing,Queeta,3,2121,0.040820324726189204,2025-11-01 02:38:16
TTD6,78856,Grocery,Karachi,8,4713,0.2337821606370839,2024-10-24 01:46:35
TTD7,32875,book,Peshawar,4,2253,0.29538243280226684,2025-10-04 23:43:15
TTD8,15008,book,Faisabad,12,2277,0.14825850628093362,2024-07-14 17:26:50
TTD9,65451,sports,Queeta,11,2706,0.17361817373324442,2025-01-31 14:10:44
TTD10,81291,book,Faisabad,3,699,0.01231235040964449,2024-03-02 20:34:53
TTD11,47747,Grocery,Karachi,17,2622,0.21550598716323452,2025-11-21 07:59:17
TTD12,50168,Grocery,Lhore,14,533,0.11775859712212298,2024-03-25 03:37:56
TTD13,30899,Electronics,Islamabad,6,1959,0.15042379010231322,2025-05-02 14:26:35
TTD14,91121,sports,Faisabad,9,3228,0.22208515477839536,2025-10-13 21:11:41
TTD15,10186,Electronics,Karachi,12,1092,0.06106474679913246,2025-12-27 20:13:54
TTD16,94265,clothing,Queeta,7,2087,0.2026299608037948,2025-12-28 02:13:04
TTD17,67539,Electronics,Queeta,16,1766,0.18614532596848682,2024-02-29 02:47:37
TTD18,76068,Grocery,Peshawar,12,3543,0.08295409614473616,2025-10-31 09:46:57
TTD19,20587,Grocery,Peshawar,9,2640,0.24064481095937268,2025-12-18 08:35:50
TTD20,85630,book,Lhore,12,3241,0.28950515673127164,2025-12-02 11:21:16
TTD21,14879,clothing,Queeta,1,277,0.07860970441721582,2024-06-20 15:14:38
TTD22,54979,book,Faisabad,7,3888,0.06466864674458105,2025-07-20 03:50:07
TTD23,27287,sports,Karachi,14,4069,0.12996453511859882,2025-01-09 06:27:28
TTD24,25160,book,Faisabad,7,851,0.11021852918075685,2024-04-18 22:48:49
TTD25,34781,Electronics,Lhore,3,212,0.16750118314525322,2024-04-01 20:54:27
TTD26,31272,Grocery,Lhore,14,1604,0.2149008320156968,2024-01-20 02:43:41
TTD27,81930,book,Faisabad,1,1649,0.17367555334558846,2024-03-22 02:52:33
TTD28,48399,clothing,Peshawar,7,4095,0.04879106146944856,2025-02-02 12:11:35
TTD29,35960,Electronics,Peshawar,4,3547,0.10097154777944295,2024-10-12 19:44:34
TTD30,51973,sports,Karachi,3,2360,0.08176506314942901,2024-10-24 11:00:40
TTD31,15198,Grocery,Faisabad,10,1384,0.26292875182536596,2025-12-06 22:52:32
TTD32,52224,Grocery,Lhore,15,3069,0.03895901665028192,2025-06-26 16:46:49
TTD33,86430,Grocery,Faisabad,4,3552,0.22329440210947843,2025-10-01 08:26:45
TTD34,35486,Electronics,Karachi,16,2406,0.03432109966970138,2025-05-25 12:22:27
TTD35,37929,clothing,Islamabad,11,652,0.2764505017889971,2025-01-05 23:29:29
TTD36,28518,sports,Queeta,16,4653,0.024753943020368516,2024-03-10 15:20:01
TTD37,41382,book,Islamabad,13,958,0.26706317843024496,2025-02-12 22:08:53
TTD38,65281,Electronics,Karachi,2,2615,0.26064679752081654,2024-08-28 16:22:12
TTD39,39600,Grocery,Lhore,10,1155,0.12795455198448996,2025-09-13 22:35:46
TTD40,17228,Electronics,Islamabad,17,1302,0.2273747634378877,2024-01-24 05:21:54
TTD41,83343,clothing,Lhore,18,4628,0.2676514606811699,2024-05-03 11:53:16
TTD42,75908,clothing,Karachi,18,1791,0.18580920401744255,2024-09-06 23:57:11
TTD43,27765,Electronics,Queeta,9,1679,0.04963036955356115,2024-09-21 09:12:38
TTD44,38655,clothing,Peshawar,7,3834,0.07288251755589042,2025-10-21 04:18:57
TTD45,73573,book,Peshawar,15,871,0.12060745854772498,2024-06-12 14:12:27
TTD46,43149,Grocery,Karachi,4,1586,0.2299128848778987,2025-05-06 10:54:39
TTD47,75110,book,Islamabad,5,346,0.057090488969159234,2025-04-07 23:04:53
TTD48,63826,sports,Peshawar,13,2514,0.23858678418473575,2025-05-11 10:23:57
TTD49,14446,Electronics,Islamabad,8,2008,0.018111303375601018,2025-11-08 14:30:19
TTD50,17829,clothing,Faisabad,7,4529,0.110793500901699,2024-12-16 17:57:50
TTD51,91237,Grocery,Faisabad,16,4780,0.2949884479418299,2025-09-06 15:52:44
TTD52,18940,book,Queeta,12,3677,0.15341116193874424,2024-02-04 00:53:43
TTD53,47673,Grocery,Queeta,10,3050,0.25829788733015024,2024-07-17 12:45:34
TTD54,66599,sports,Peshawar,14,1710,0.2645520217783647,2025-06-27 19:14:41
TTD55,27123,Electronics,Queeta,13,1079,0.2168273226899615,2024-02-06 09:18:31
TTD56,16472,clothing,Faisabad,1,3900,0.2146997429597803,2025-08-19 17:59:13
TTD57,63303,Electronics,Lhore,8,4880,0.1218661998851057,2024-11-18 16:42:43
TTD58,22952,Grocery,Lhore,17,4611,0.25949018869098617,2025-06-08 06:00:18
TTD59,58748,Grocery,Lhore,8,321,0.28279058864122686,2025-01-19 14:08:47
TTD60,77029,Electronics,Faisabad,15,3894,0.21626439005281609,2024-11-22 18:09:19
TTD61,68360,sports,Peshawar,15,2826,0.12201531913452496,2024-03-01 13:00:27
TTD62,75507,sports,Peshawar,12,156,0.24104824747311793,2024-07-20 07:48:08
TTD63,16879,book,Peshawar,7,3265,0.02558230747910174,2024-03-12 19:30:06
TTD64,15690,clothing,Faisabad,5,1518,0.09992987638679261,2025-01-08 19:55:39
TTD65,95317,sports,Karachi,13,2466,0.2867229992519393,2025-01-14 02:05:52
TTD66,82669,sports,Queeta,19,2968,0.2326985602540974,2024-01-14 04:14:30
TTD67,20026,Grocery,Lhore,11,3633,0.07267826142219273,2024-04-02 18:57:55
TTD68,38224,book,Faisabad,11,1928,0.20680023886383767,2024-09-03 18:23:29
TTD69,13833,Electronics,Lhore,8,2369,0.2061327493825865,2025-11-08 15:53:38
TTD70,73642,clothing,Lhore,17,3088,0.2409572257566267,2024-10-21 06:32:05
TTD71,26647,clothing,Islamabad,5,835,0.02204908445287219,2024-05-15 04:05:16
TTD72,29318,book,Queeta,5,4444,0.18985069669695723,2024-10-03 14:25:40
TTD73,45856,clothing,Peshawar,12,4573,0.002215007559196125,2025-06-02 08:22:48
TTD74,24544,book,Faisabad,5,3438,0.2747867355977276,2024-07-16 00:33:22
TTD75,84823,clothing,Karachi,10,1432,0.04082646724962746,2025-03-02 18:23:20
TTD76,84692,clothing,Faisabad,10,3525,0.07016784934804507,2025-04-25 09:20:29
TTD77,30299,clothing,Queeta,4,2780,0.024143137334187048,2025-06-01 14:39:15
TTD78,34259,book,Islamabad,9,834,0.06682177820741358,2024-09-09 08:39:15
TTD79,67735,Electronics,Lhore,11,1330,0.05005823412112009,2024-02-05 21:46:19
TTD80,70355,book,Karachi,18,4783,0.030052839107696926,2025-01-25 17:37:35
TTD81,88240,clothing,Peshawar,8,4999,0.08472932956402209,2025-02-06 11:14:22
TTD82,94964,clothing,Peshawar,18,4317,0.19163589050491878,2025-10-16 10:28:40
TTD83,44797,Grocery,Faisabad,9,3653,0.0034403348427176736,2025-02-16 04:28:03
TTD84,51219,Grocery,Queeta,2,4104,0.07659698003621047,2024-08-29 15:05:51
TTD85,42735,book,Karachi,5,2345,0.23644731824745024,2025-04-09 08:35:46
TTD86,79957,Grocery,Islamabad,10,4536,0.21713677070536666,2024-01-04 01:53:43
TTD87,19187,Grocery,Karachi,17,3630,0.11669698990314509,2025-09-27 20:06:09
TTD88,58237,Grocery,Karachi,15,4560,0.10551623249802373,2025-02-11 00:21:27
TTD89,91363,book,Karachi,18,3912,0.026137217422031976,2025-07-25 08:29:04
TTD90,94382,clothing,Karachi,15,4504,0.2442313925117166,2025-08-20 18:49:19
TTD91,57604,book,Peshawar,14,832,0.2824417326682444,2024-12-05 21:48:51
TTD92,94850,book,Karachi,4,2188,0.01289129855927552,2025-12-06 09:48:39
TTD93,76559,Grocery,Queeta,5,4208,0.280062916458128,2024-11-05 14:05:52
TTD94,66855,clothing,Karachi,1,1599,0.2670291636308999,2025-02-09 07:57:26
TTD95,26585,sports,Queeta,18,3179,0.1828416211533356,2025-02-27 12:38:50
TTD96,73425,Electronics,Karachi,15,1709,0.0882676879197999,2024-02-05 16:46:09
TTD97,39678,book,Queeta,2,4746,0.03411842152637053,2025-11-08 20:42:00
TTD98,47681,clothing,Peshawar,15,1199,0.2829498128308869,2024-08-09 14:43:42
TTD99,74759,clothing,Islamabad,19,803,0.28948758239893485,2024-02-16 19:16:49
TTD100,95998,book,Lhore,3,3516,0.28792232387808764,2024-08-17 09:28:31
TTD101,49200,clothing,Peshawar,2,2149,0.2753473102220576,2025-02-14 12:51:35
TTD102,32821,sports,Peshawar,4,1627,0.16685652360729836,2024-10-08 17:15:36
TTD103,89948,book,Lhore,6,914,0.13697945501177614,2024-11-10 01:43:56
TTD104,67064,book,Peshawar,5,4166,0.26138294039325277,2025-02-25 15:17:11
TTD105,78810,sports,Peshawar,3,4290,0.045270619175767635,2024-07-31 18:25:14
TTD106,35095,book,Lhore,13,1111,0.07300830596226363,2025-03-15 01:11:49
TTD107,11863,Grocery,Islamabad,9,3276,0.2772798362453725,2025-03-17 07:43:43
TTD108,27596,clothing,Peshawar,2,2530,0.2434342883634563,2024-06-16 22:27:25
TTD109,39487,book,Faisabad,7,3835,0.04921982246444135,2025-04-03 18:53:37
TTD110,33614,clothing,Peshawar,5,1034,0.10037008028098639,2025-05-21 10:23:11
TTD111,74405,clothing,Queeta,16,1424,0.08718775417936893,2025-07-04 01:09:55
TTD112,13420,Grocery,Karachi,17,4136,0.05202402373066809,2024-03-02 18:25:21
TTD113,37431,Electronics,Queeta,2,1180,0.2569524244999,2025-08-16 20:47:04
TTD114,85328,book,Lhore,6,1753,0.11336064770988442,2025-01-22 12:29:00
TTD115,74849,Grocery,Karachi,1,613,0.10770952639807271,2024-03-01 15:11:35
TTD116,73575,clothing,Queeta,14,1117,0.01582710472008071,2024-05-12 15:47:04
TTD117,54204,Grocery,Peshawar,14,2808,0.005062860190971408,2024-09-30 01:29:59
TTD118,14427,Grocery,Faisabad,9,1974,0.006304378003765953,2025-09-06 11:51:22
TTD119,99857,Electronics,Islamabad,19,2321,0.04656879335484924,2024-05-21 03:52:02
TTD120,85435,Electronics,Lhore,10,1622,0.11856291292689253,2025-05-27 19:13:14
TTD121,47193,book,Lhore,11,1011,0.1909457342932322,2025-03-04 16:05:01
TTD122,98908,Electronics,Karachi,1,1760,0.14622423743195043,2025-01-03 20:44:25
TTD123,14786,Grocery,Lhore,7,1589,0.24911190035294145,2025-03-22 13:33:49
TTD124,99279,Electronics,Peshawar,3,302,0.22997929302784945,2024-09-10 05:53:18
TTD125,31534,Grocery,Lhore,11,4014,0.1912555458344553,2024-10-09 21:22:17
TTD126,47589,book,Peshawar,18,2224,0.10220002727526704,2025-12-14 10:55:55
TTD127,82691,Electronics,Queeta,1,2731,0.026172889456962244,2024-03-05 06:31:59
TTD128,92912,Grocery,Peshawar,1,599,0.036342299895875604,2024-12-17 18:01:28
TTD129,96567,sports,Lhore,4,1124,0.025699385664171924,2024-07-05 07:39:48
TTD130,47660,Grocery,Peshawar,18,1738,0.2104282485730216,2024-03-22 11:52:00
TTD131,89702,clothing,Peshawar,8,4695,0.0424218898729745,2024-10-07 08:29:24
TTD132,15876,clothing,Karachi,2,1637,0.13768190321774326,2025-05-19 02:54:39
TTD133,16723,Grocery,Islamabad,5,3891,0.09682359044286327,2024-08-27 17:58:32
TTD134,35185,book,Peshawar,12,3615,0.1550437790311335,2024-11-27 00:23:58
TTD135,12915,Grocery,Queeta,11,148,0.06403708826195689,2025-05-31 00:48:34
TTD136,23308,Grocery,Queeta,14,4335,0.1734669780022037,2025-09-10 17:41:43
TTD137,69803,Electronics,Islamabad,5,4081,0.1558028209659872,2025-11-20 03:24:54
TTD138,92183,sports,Queeta,9,3490,0.27495310729568767,2025-03-27 11:32:57
TTD139,21397,book,Islamabad,3,4840,0.051049500918513534,2024-06-23 00:22:28
TTD140,45444,clothing,Lhore,17,192,0.0037329640781876504,2025-02-26 23:27:06
TTD141,78303,sports,Karachi,13,4706,0.1767397587743434,2024-02-28 09:10:13
TTD142,62268,Electronics,Queeta,17,3144,0.2381670952122691,2025-09-20 15:37:57
TTD143,62110,sports,Islamabad,2,709,0.09245683007332392,2024-08-05 15:00:16
TTD144,80913,Electronics,Lhore,8,1649,0.19724245271012425,2025-02-17 19:57:44
TTD145,98298,clothing,Peshawar,1,175,0.26767821152247845,2025-08-28 11:17:04
TTD146,78743,book,Peshawar,12,3263,0.20922490453703813,2025-03-12 10:53:33
TTD147,65834,Electronics,Lhore,8,3111,0.24775349561683407,2025-08-22 14:07:49
TTD148,98552,Electronics,Lhore,12,4164,0.19360451176834478,2025-04-22 20:39:20
TTD149,99328,Electronics,Peshawar,16,111,0.212734685861648,2025-11-27 13:42:44
TTD150,95984,Grocery,Islamabad,6,892,0.05428873556308917,2024-12-02 06:11:25
TTD151,45744,Electronics,Karachi,17,3927,0.2076798016714869,2024-08-05 17:05:48
TTD152,11943,clothing,Faisabad,17,4940,0.24871723657257774,2025-05-19 16:18:07
TTD153,35861,sports,Queeta,4,4350,0.08770360713302634,2024-08-01 03:46:36
TTD154,85627,Grocery,Islamabad,6,2380,0.07377602170474201,2025-12-09 15:11:30
TTD155,31049,Electronics,Karachi,14,2498,0.22080808636867416,2025-06-22 10:45:23
TTD156,74288,clothing,Islamabad,18,3527,0.20953555858746423,2024-07-04 01:11:04
TTD157,83919,Electronics,Peshawar,16,3229,0.0637214995773476,2024-11-18 14:48:55
TTD158,28013,clothing,Lhore,12,3718,0.11394097893894645,2025-10-13 17:31:39
TTD159,54007,Electronics,Karachi,17,137,0.13343123492165648,2025-12-27 00:40:02
TTD160,78082,Grocery,Karachi,8,2259,0.10340582236095959,2024-03-23 23:36:54
TTD161,17083,book,Lhore,12,1578,0.024635493308221023,2024-09-23 03:11:59
TTD162,15133,Electronics,Karachi,12,2185,0.19343025765685398,2024-09-23 11:44:32
TTD163,56295,book,Islamabad,18,2670,0.1700959323142685,2024-04-20 21:25:26
TTD164,17286,clothing,Karachi,14,4471,0.10525932188685945,2024-02-03 00:14:45
TTD165,13266,Electronics,Faisabad,10,2311,0.10095477365395579,2025-06-12 03:14:00
TTD166,42031,Electronics,Queeta,11,1075,0.07144449883667837,2024-08-17 06:07:43
TTD167,60521,Grocery,Queeta,8,3245,0.20359897052727713,2025-12-15 03:36:14
TTD168,60986,book,Lhore,11,4572,0.1884869958999028,2024-07-02 19:41:07
TTD169,77608,sports,Lhore,2,3678,0.04534768458148778,2025-01-09 16:54:44
TTD170,96339,sports,Islamabad,5,4784,0.22368435060792313,2024-07-19 18:13:22
TTD171,75835,Electronics,Lhore,4,4128,0.0870760698669527,2024-11-13 01:16:13
TTD172,94682,clothing,Islamabad,14,1298,0.25712080487702277,2025-11-07 18:43:55
TTD173,84048,Grocery,Islamabad,11,4774,0.11214196786688709,2025-11-28 18:00:22
TTD174,24034,clothing,Karachi,2,735,0.07497082352454189,2025-05-14 07:39:10
TTD175,20634,Grocery,Islamabad,19,4613,0.17100609481332457,2024-12-24 06:31:00
TTD176,21353,book,Faisabad,3,4710,0.07049877602170461,2024-09-08 20:06:23
TTD177,86243,Electronics,Lhore,1,4943,0.049172427838871956,2025-10-19 11:15:05
TTD178,38567,Grocery,Peshawar,5,3108,0.29522205616768343,2025-07-16 10:58:35
TTD179,52637,Electronics,Peshawar,9,577,0.018328944114793442,2024-09-22 08:03:12
TTD180,58970,book,Lhore,1,1444,0.23189262808786953,2025-11-12 11:05:18
TTD181,47709,Grocery,Lhore,5,2077,0.2724720789492677,2025-09-10 08:46:19
TTD182,86372,sports,Faisabad,11,3441,0.19753262219638262,2025-12-12 04:15:56
TTD183,87364,book,Faisabad,10,1775,0.07677347845175493,2025-10-17 02:31:18
TTD184,60541,book,Karachi,1,1335,0.19033183092890962,2025-11-07 04:48:08
TTD185,38388,book,Faisabad,14,1479,0.058018317248240865,2025-04-29 09:15:32
TTD186,50545,clothing,Queeta,8,4626,0.12884591580130156,2024-08-21 13:01:46
TTD187,29074,book,Peshawar,9,3203,0.02965065013434589,2025-04-29 14:42:09
TTD188,59765,clothing,Lhore,2,4498,0.12395353204772926,2024-11-15 09:50:08
TTD189,89996,Grocery,Faisabad,10,1486,0.29914650901011847,2025-04-29 03:34:26
TTD190,48199,book,Islamabad,9,1251,0.12890195164087023,2024-09-25 08:19:32
TTD191,14122,Grocery,Queeta,11,2134,0.17960612484895186,2025-04-06 15:45:54
TTD192,14407,clothing,Islamabad,10,4362,0.17510476955175014,2024-08-04 17:27:23
TTD193,51087,sports,Peshawar,16,2453,0.01426484346827701,2024-09-28 02:51:13
TTD194,17438,sports,Queeta,12,4817,0.07360793239865589,2025-03-09 15:35:42
TTD195,35517,book,Karachi,6,1253,0.2204676761161877,2024-09-19 12:57:48
TTD196,18911,Grocery,Faisabad,5,1745,0.11980243067253397,2024-01-28 00:20:55
TTD197,16962,Electronics,Lhore,13,2620,0.2894969996296601,2024-03-25 08:13:41
TTD198,41801,book,Queeta,9,2179,0.14987447612417218,2024-02-05 12:30:18
TTD199,65530,sports,Faisabad,3,1545,0.19599778571956708,2025-08-31 05:39:19
TTD200,38340,book,Peshawar,13,1494,0.21543173835843124,2024-06-25 14:24:46
TTD201,31380,clothing,Faisabad,17,3362,0.1291090806512907,2025-07-19 17:13:35
TTD202,58039,clothing,Islamabad,5,3095,0.24967145917277728,2024-04-04 00:01:50
TTD203,44082,sports,Lhore,7,772,0.26080657232660787,2025-08-03 12:47:00
TTD204,71172,Grocery,Lhore,10,1658,0.19093012892835215,2025-12-07 17:14:51
TTD205,96671,Grocery,Lhore,9,2892,0.2058315955195603,2025-08-31 02:56:49
TTD206,60785,sports,Peshawar,8,55,0.017207890151038494,2024-12-29 11:35:26
TTD207,36193,clothing,Karachi,11,3543,0.18429317233707362,2024-01-02 23:10:24
TTD208,58657,clothing,Queeta,17,482,0.2024319705948287,2024-01-25 02:00:47
TTD209,30883,Electronics,Islamabad,5,4132,0.010831828854798808,2024-09-04 16:39:01
TTD210,60323,clothing,Faisabad,10,1963,0.16920594122237997,2024-05-30 01:19:57
TTD211,73292,sports,Karachi,16,327,0.10119475349237866,2025-10-14 06:12:45
TTD212,13466,sports,Faisabad,4,624,0.18300613200499513,2024-07-29 21:32:22
TTD213,38762,book,Queeta,16,2860,0.13745407228928172,2024-02-21 03:39:28
TTD214,23894,Electronics,Lhore,13,4444,0.25839172865159266,2024-09-20 08:36:07
TTD215,34882,sports,Queeta,4,2901,0.04340489789780292,2025-05-17 00:50:32
TTD216,88877,sports,Faisabad,10,671,0.13864285790478706,2024-01-17 22:02:28
TTD217,46839,sports,Islamabad,14,365,0.10093800330503461,2024-02-21 16:21:20
TTD218,67900,Electronics,Peshawar,5,3269,0.22996036553102361,2025-04-24 04:52:01
TTD219,31703,sports,Karachi,9,4013,0.08800353306770829,2025-02-26 05:35:05
TTD220,65600,sports,Peshawar,3,150,0.20575574777476288,2024-02-20 00:45:06
TTD221,60352,Grocery,Faisabad,10,4272,0.25491038476398,2024-02-05 17:01:02
TTD222,16502,book,Karachi,17,1730,0.03919026658875215,2024-07-24 13:45:23
TTD223,49964,sports,Karachi,13,2675,0.037031604987087685,2025-12-29 17:16:59
TTD224,68757,clothing,Queeta,1,4956,0.2631810047996419,2024-03-07 17:40:42
TTD225,51574,clothing,Faisabad,18,3804,0.11444231935893286,2024-05-08 05:53:25
TTD226,70279,Grocery,Islamabad,12,1019,0.24000323006467247,2025-10-22 21:49:18
TTD227,36769,sports,Islamabad,8,948,0.06934568959962166,2024-10-21 08:58:55
TTD228,52618,sports,Karachi,4,3561,0.24114651609372967,2024-11-09 11:28:48
TTD229,93828,book,Peshawar,9,2912,0.06582970685016773,2025-09-28 19:23:04
TTD230,15590,sports,Peshawar,17,2356,0.21880752259057704,2024-06-03 07:40:42
TTD231,75731,Grocery,Queeta,3,4527,0.13312221258600795,2025-09-22 19:40:23
TTD232,12141,book,Islamabad,4,231,0.26364251268844263,2025-04-04 05:27:31
TTD233,53046,book,Lhore,7,1515,0.23823059690108336,2024-11-17 21:44:28
TTD234,87092,Grocery,Queeta,9,4111,0.05460804357106765,2025-04-30 02:49:27
TTD235,51586,Electronics,Karachi,3,4737,0.0030075174143486816,2024-07-08 04:00:06
TTD236,33143,Electronics,Karachi,11,2652,0.28699025581065196,2024-08-22 23:30:46
TTD237,84075,sports,Peshawar,9,3374,0.093330116951875,2024-09-12 12:40:12
TTD238,46020,Electronics,Islamabad,10,3932,0.07190851921985954,2024-05-22 01:03:26
TTD239,96981,clothing,Peshawar,1,3675,0.0840036526004242,2025-07-06 05:49:50
TTD240,79984,Electronics,Islamabad,4,1197,0.07307979540512494,2024-02-25 14:39:03
TTD241,45944,Electronics,Faisabad,3,838,0.05294115165997698,2024-10-20 06:04:12
TTD242,72434,book,Lhore,14,4616,0.0890243578230421,2024-06-16 07:22:20
TTD243,11003,clothing,Peshawar,3,1669,0.005383909746673121,2024-05-26 12:34:55
TTD244,79082,book,Karachi,14,3027,0.12188170020770306,2024-07-23 20:33:54
TTD245,84418,Electronics,Peshawar,18,2040,0.23069743797214964,2024-01-08 17:57:48
TTD246,30054,Grocery,Islamabad,7,4580,0.10252250926191088,2025-03-29 02:21:22
TTD247,46091,book,Peshawar,15,4757,0.2060111894212137,2024-08-15 16:08:37
TTD248,54461,Grocery,Peshawar,7,2863,0.016407198947056466,2025-08-21 02:20:38
TTD249,18887,Grocery,Queeta,2,548,0.2894205369802022,2025-07-22 15:35:12
